artifact_kind,state,producer,artifact_count,report_count,limitation
scope,active,analysis_complete,6,6,persisted lineage; reuse-decision event count is not retained
scope,active,render_complete,19,19,persisted lineage; reuse-decision event count is not retained
scope,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
scope,superseded,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
signals,active,render_complete,20,20,persisted lineage; reuse-decision event count is not retained
signals,superseded,render_complete,61,20,persisted lineage; reuse-decision event count is not retained
source_pdf,active,render_complete,20,20,persisted lineage; reuse-decision event count is not retained
source_pdf,superseded,source_prepared,20,20,persisted lineage; reuse-decision event count is not retained
validation,active,analysis_complete,7,7,persisted lineage; reuse-decision event count is not retained
validation,active,render_complete,18,18,persisted lineage; reuse-decision event count is not retained
validation,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
validation,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_1,active,analysis_complete,3,3,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_1,active,render_complete,9,9,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_1,superseded,analysis_complete,11,11,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_1,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_2,active,analysis_complete,2,2,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_2,active,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_2,superseded,analysis_complete,4,4,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_2,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_3,active,analysis_complete,2,2,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_3,active,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_3,superseded,analysis_complete,3,3,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_3,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
